% Model:              stripline_filter_simple_decomp_new_mesh.mph
% Version:            COMSOL 6.1.0.252
% Date:               May 18 2023, 21:20
% Dimension:          3
% Nodes:              1688
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        real(emw.Hy)
0.001739047872793132      0.005827892223864421     0.005608000000000001     -6.767395990717904
0.001773244014511185      0.005864537376266771     0.005608000000000001     -7.561794827734805
0.0017227202645166144     0.005867129804031616     0.005608000000000001     -5.923738325626754
0.0017569164062346675     0.0059037749564339655    0.005608000000000001     -6.568061693939576
0.0018074401562292383     0.005901182528669121     0.005608000000000002     -7.73967110532697
0.0017911125479527206     0.005940420108836316     0.005608000000000001     -6.738173236274257
0.0018416362979472912     0.005937827681071471     0.005608                 -7.917547382919141
0.0018253086896707735     0.005977065261238665     0.005608000000000001     -6.908284778608928
0.0018758324396653443     0.005974472833473821     0.005608000000000001     -8.095423660511301
0.0018595048313888268     0.006013710413641016     0.005608000000000001     -7.078396320943655
0.0019100285813833974     0.0060111179858761705    0.005608000000000002     -8.273299938103495
0.00189370097310688       0.006050355566043365     0.005608000000000001     -7.248507863278361
0.0019442247231014505     0.00604776313827852      0.005608000000000001     -8.451176215695618
0.0019278971148249328     0.006087000718445715     0.005608                 -7.265526305564823
0.0019784208648195036     0.00608440829068087      0.005608000000000001     -8.552575559325984
0.0017063926562400971     0.00590636738419881      0.005608000000000002     -5.345882705902457
0.00174058879795815       0.0059430125366011595    0.005608                 -5.89433564242543
0.001774784939676203      0.00597965768900351      0.005608                 -6.064447184760109
0.0018089810813942562     0.00601630284140586      0.005608000000000002     -6.234558727094814
0.0018431772231123095     0.00605294799380821      0.005608000000000002     -6.404670269429522
0.0018773733648303624     0.006089593146210559     0.005608000000000002     -6.46691266309512
0.0016900650479635794     0.005945604964366005     0.005608                 -4.768027086178119
0.0017242611896816323     0.005982250116768355     0.005608                 -5.220609590911294
0.0017584573313996856     0.006018895269170705     0.005608000000000002     -5.3907211332459735
0.0017926534731177385     0.006055540421573054     0.005608                 -5.560832675580692
0.0018268496148357918     0.006092185573975404     0.005608                 -5.66829902062541
0.001673737439687062      0.005984842544533199     0.005608000000000001     -4.19017146645376
0.0017079335814051153     0.00602148769693555      0.005608000000000002     -4.546883539397136
0.0017421297231231681     0.006058132849337899     0.005608000000000001     -4.716995081731831
0.0017763258648412212     0.006094778001740249     0.005608                 -4.869685378155703
0.0016574098314105445     0.006024080124700394     0.005608000000000002     -3.6123158467294307
0.0016916059731285976     0.006060725277102744     0.005608000000000001     -3.8731574878830126
0.0017258021148466507     0.006097370429505094     0.005608000000000002     -4.071071735685984
0.001641082223134027      0.006063317704867588     0.005608000000000001     -3.0344602270051007
0.0016752783648520799     0.006099962857269938     0.005608                 -3.2724580932162763
0.0016247546148575095     0.006102555285034783     0.005608000000000001     -2.3108921646813396
0.0025000000000000005     0.006050000000000001     0.005608000000000002     -13.578088347404337
0.0025000000000000005     0.006100000000000001     0.005608000000000002     -11.170692755330712
0.0024677362666874134     0.006061755674590462     0.005608000000000002     -12.85205474809442
0.0024677362666874134     0.006111755674590462     0.005608000000000001     -10.813036734116938
0.0025000000000000005     0.006150000000000001     0.005608000000000002     -9.452883551879118
0.0024677362666874125     0.006161755674590461     0.005608000000000001     -9.095227530665381
0.0025000000000000005     0.006200000000000001     0.005608000000000001     -7.735074348427544
0.0024677362666874134     0.006211755674590461     0.005608000000000001     -7.3774183272138085
0.0025000000000000005     0.00625                  0.005608000000000002     -6.017265144976001
0.0024677362666874134     0.0062617556745904615    0.005608000000000001     -5.6596091237622534
0.0025000000000000005     0.0063                   0.005608000000000002     -4.299455941524418
0.0024677362666874125     0.006311755674590461     0.005608000000000001     -3.9417999203106993
0.0025000000000000005     0.006350000000000001     0.005608000000000001     -2.5816467380728545
0.0024677362666874125     0.006361755674590461     0.005608                 -1.8400245397515773
0.0025                    0.0064                   0.005608000000000001     -0.43191876731064205
0.0024354725333748254     0.006073511349180923     0.005608000000000002     -12.428275466194162
0.0024354725333748254     0.006123511349180922     0.005608000000000002     -10.455380712903219
0.0024354725333748254     0.0061735113491809225    0.005608000000000002     -8.737571509451675
0.0024354725333748254     0.006223511349180923     0.005608000000000002     -7.019762306000079
0.0024354725333748254     0.006273511349180923     0.005608000000000002     -5.30195310254852
0.0024354725333748254     0.006323511349180922     0.005608000000000002     -3.2481303121925196
0.0024032088000622382     0.006085267023771384     0.005608000000000001     -12.00449618429392
0.0024032088000622382     0.006135267023771384     0.005608000000000002     -10.097724691689496
0.0024032088000622382     0.006185267023771384     0.005608000000000002     -8.379915488237927
0.0024032088000622382     0.006235267023771383     0.005608                 -6.662106284786358
0.002403208800062238      0.006285267023771383     0.005608                 -4.6562360846334565
0.0023709450667496507     0.006097022698361845     0.005608000000000002     -11.580716902393695
0.0023709450667496507     0.006147022698361846     0.005608000000000002     -9.740068670475736
0.0023709450667496507     0.006197022698361845     0.005608000000000001     -8.022259467024192
0.0023709450667496502     0.0062470226983618446    0.005608                 -6.064341857074393
0.002338681333437063      0.006108778372952307     0.005608000000000002     -11.15693762049343
0.002338681333437063      0.006158778372952306     0.005608000000000001     -9.38241264926202
0.002338681333437063      0.006208778372952306     0.005608000000000002     -7.472447629515336
0.002306417600124476      0.006120534047542768     0.005608000000000001     -10.733158338593206
0.0023064176001244756     0.006170534047542767     0.005608                 -8.88055340195627
0.0022741538668118884     0.006132289722133228     0.005608000000000001     -9.99430668807548
0.0015000000000000002     0.006400000000000001     0.005608000000000001     -0.16091008103062185
