% Model:              stripline_filter_simple_decomp_new_mesh.mph
% Version:            COMSOL 6.1.0.252
% Date:               May 18 2023, 21:19
% Dimension:          3
% Nodes:              1688
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        imag(emw.Hy)
0.001739047872793132      0.005827892223864421     0.005608000000000001     3.493477515357121
0.001773244014511185      0.005864537376266771     0.005608000000000001     3.752093917634516
0.0017227202645166144     0.005867129804031616     0.005608000000000001     3.315742197431171
0.0017569164062346675     0.0059037749564339655    0.005608000000000001     3.4364188651802117
0.0018074401562292383     0.005901182528669121     0.005608000000000002     3.8970574711310433
0.0017911125479527206     0.005940420108836316     0.005608000000000001     3.5366256051618143
0.0018416362979472912     0.005937827681071471     0.005608                 4.042021024627564
0.0018253086896707735     0.005977065261238665     0.005608000000000001     3.636832345143379
0.0018758324396653443     0.005974472833473821     0.005608000000000001     4.186984578124071
0.0018595048313888268     0.006013710413641016     0.005608000000000001     3.7370390851249713
0.0019100285813833974     0.0060111179858761705    0.005608000000000002     4.331948131620596
0.00189370097310688       0.006050355566043365     0.005608000000000001     3.8372458251065633
0.0019442247231014505     0.00604776313827852      0.005608000000000001     4.4769116851171376
0.0019278971148249328     0.006087000718445715     0.005608                 3.9224958116063
0.0019784208648195036     0.00608440829068087      0.005608000000000001     4.391727352435191
0.0017063926562400971     0.00590636738419881      0.005608000000000002     2.972253608674997
0.00174058879795815       0.0059430125366011595    0.005608                 3.064917847414336
0.001774784939676203      0.00597965768900351      0.005608                 3.16512458739592
0.0018089810813942562     0.00601630284140586      0.005608000000000002     3.2653313273774924
0.0018431772231123095     0.00605294799380821      0.005608000000000002     3.3655380673590902
0.0018773733648303624     0.006089593146210559     0.005608000000000002     3.464795286565815
0.0016900650479635794     0.005945604964366005     0.005608                 2.6287650199188097
0.0017242611896816323     0.005982250116768355     0.005608                 2.693416829648445
0.0017584573313996856     0.006018895269170705     0.005608000000000002     2.7936235696300273
0.0017926534731177385     0.006055540421573054     0.005608                 2.8938303096116123
0.0018268496148357918     0.006092185573975404     0.005608                 3.0070947615253374
0.001673737439687062      0.005984842544533199     0.005608000000000001     2.285276431162636
0.0017079335814051153     0.00602148769693555      0.005608000000000002     2.3219158118825662
0.0017421297231231681     0.006058132849337899     0.005608000000000001     2.42212255186414
0.0017763258648412212     0.006094778001740249     0.005608                 2.549394236484856
