% Model:              stripline_filter_simple_decomp_new_mesh.mph
% Version:            COMSOL 6.1.0.252
% Date:               May 4 2023, 12:09
% Dimension:          3
% Nodes:              2339
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        real(emw.Ex)
7.079896247619854E-4      0.0017185324347857738    0.010508                 35.314293192851025
6.782768212245591E-4      0.0017444563726735204    0.010508                 40.85522357727591
6.782768212245591E-4      0.0017044563726735205    0.010508                 23.66205410028661
6.485640176871325E-4      0.001730380310561267     0.010508                 42.2622009088812
6.485640176871324E-4      0.001770380310561267     0.010508                 45.708200840898485
6.188512141497059E-4      0.0017563042484490135    0.010508                 45.158242377393435
6.188512141497059E-4      0.0017963042484490134    0.010508                 44.41101164653537
5.891384106122795E-4      0.0017822281863367603    0.010508                 42.37077438751783
5.891384106122795E-4      0.0018222281863367602    0.010508                 36.96365599418641
5.594256070748531E-4      0.0018081521242245067    0.010508                 33.89979693925477
5.59425607074853E-4       0.0018481521242245066    0.010508                 23.36613388385149
5.297128035374265E-4      0.0018340760621122533    0.010508                 19.74531003260421
5.297128035374265E-4      0.0018740760621122534    0.010508                 3.61844531553092
5.0E-4                    0.0018599999999999999    0.010508                 -0.09268633243453905
5.0E-4                    0.0019                   0.010508                 -22.279409710775194
6.485640176871324E-4      0.001690380310561267     0.010508                 27.83414547484228
6.188512141497059E-4      0.0017163042484490134    0.010508                 49.46849377641598
5.891384106122794E-4      0.0017422281863367602    0.010508                 54.25757122082621
5.59425607074853E-4       0.0017681521242245068    0.010508                 53.36313920684904
5.297128035374265E-4      0.0017940760621122534    0.010508                 46.78519773448437
5.0E-4                    0.00182                  0.010508                 34.52374680373174
6.188512141497059E-4      0.0016763042484490135    0.010508                 31.547178897518563
5.891384106122795E-4      0.0017022281863367603    0.010508                 56.294668101184584
5.59425607074853E-4       0.001728152124224507     0.010508                 62.97678152149399
5.297128035374265E-4      0.0017540760621122535    0.010508                 63.975385483414755
5.0E-4                    0.00178                  0.010508                 59.290479986948924
5.891384106122795E-4      0.0016622281863367602    0.010508                 34.801154368315224
5.59425607074853E-4       0.001688152124224507     0.010508                 62.74072388318845
5.297128035374265E-4      0.0017140760621122534    0.010508                 71.31587327939576
5.0E-4                    0.00174                  0.010508                 74.20751321721502
5.59425607074853E-4       0.001648152124224507     0.010508                 37.596071887232206
5.297128035374264E-4      0.0016740760621122533    0.010508                 68.80666112242656
5.0E-4                    0.0017000000000000001    0.010508                 79.27484649453208
5.297128035374265E-4      0.0016340760621122536    0.010508                 39.931931454269574
5.0E-4                    0.00166                  0.010508                 74.4924798188996
5.0E-4                    0.0016200000000000001    0.010508                 20.00126048070024
5.0E-4                    0.00134                  0.010508                 41.71465829655765
5.367269138840589E-4      0.0013571711253991417    0.010508                 79.80350408966126
5.0E-4                    0.0013800000000000002    0.010508                 155.0787619755667
5.367269138840589E-4      0.0013971711253991416    0.010508                 151.651427183488
5.734538277681177E-4      0.001374342250798283     0.010508                 86.9505664388099
5.734538277681177E-4      0.001414342250798283     0.010508                 143.01041212321826
6.101807416521766E-4      0.0013915133761974244    0.010508                 89.23431034856816
6.101807416521766E-4      0.0014315133761974247    0.010508                 129.1557167947568
6.469076555362355E-4      0.001408684501596566     0.010508                 86.65473581893667
6.469076555362355E-4      0.0014486845015965661    0.010508                 110.0873411981045
6.836345694202944E-4      0.0014258556269957077    0.010508                 79.21184284991442
6.836345694202944E-4      0.0014658556269957076    0.010508                 85.80528533326076
7.203614833043532E-4      0.0014430267523948491    0.010508                 66.90563144150283
7.203614833043532E-4      0.001483026752394849     0.010508                 73.8531916700548
7.570883971884121E-4      0.0014601978777939906    0.010508                 35.59534032846033
5.0E-4                    0.00142                  0.010508                 195.8659912719944
5.367269138840588E-4      0.0014371711253991415    0.010508                 180.30727130873703
5.734538277681177E-4      0.0014543422507982831    0.010508                 159.53487107728827
6.101807416521766E-4      0.0014715133761974246    0.010508                 133.5487905776482
6.469076555362354E-4      0.001488684501596566     0.010508                 102.3490298098171
6.836345694202944E-4      0.0015058556269957077    0.010508                 85.58590915802263
5.0E-4                    0.00146                  0.010508                 208.4254990716965
5.367269138840589E-4      0.0014771711253991416    0.010508                 180.73539393726026
5.734538277681177E-4      0.0014943422507982832    0.010508                 147.83160853463272
6.101807416521766E-4      0.0015115133761974247    0.010508                 109.71414286381383
6.469076555362355E-4      0.0015286845015965661    0.010508                 87.70677248119257
5.0E-4                    0.0015                   0.010508                 192.7572853746725
5.367269138840589E-4      0.0015171711253991417    0.010508                 152.93579506905775
5.734538277681177E-4      0.0015343422507982831    0.010508                 107.90062449525124
6.101807416521766E-4      0.0015515133761974246    0.010508                 80.21578163956433
5.0E-4                    0.0015400000000000001    0.010508                 148.8613501809229
5.367269138840589E-4      0.0015571711253991416    0.010508                 96.90847470412902
5.734538277681177E-4      0.001574342250798283     0.010508                 63.11293663313805
5.0E-4                    0.0015800000000000002    0.010508                 76.7376934904475
5.367269138840589E-4      0.0015971711253991417    0.010508                 36.3982374619141
7.150037351086179E-4      0.001681627498072662     0.010508                 83.5509628217167
6.852909315711914E-4      0.0016675514359604086    0.010508                 70.72395568523507
6.555781280337648E-4      0.001653475373848155     0.010508                 69.68376768644634
6.258653244963384E-4      0.001639399311735902     0.010508                 68.10558232666335
5.961525209589119E-4      0.0016253232496236487    0.010508                 65.9893996058878
5.664397174214854E-4      0.001611247187511395     0.010508                 63.33521952411763
7.220178454552501E-4      0.00164472256135955      0.010508                 116.5944051878752
6.923050419178236E-4      0.0016306464992472964    0.010508                 110.15714589330742
