% Model:              stripline_filter_simple_decomp_new_mesh.mph
% Version:            COMSOL 6.1.0.252
% Date:               May 18 2023, 17:51
% Dimension:          3
% Nodes:              1951
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        real(emw.Hx)
6.810960895425763E-4      0.0051740473853861685    0.005608000000000001     -1.445748730017923
6.925800746188137E-4      0.005145039487821808     0.005608000000000001     -1.4564882638281795
7.137664856681099E-4      0.00517747902732094      0.005608000000000001     -1.7423329123223676
7.252504707443471E-4      0.005148471129756579     0.005608000000000002     -1.5549710354582367
7.04064059695051E-4       0.005116031590257445     0.005608000000000002     -1.6321684507342225
7.367344558205844E-4      0.005119463232192217     0.005608000000000001     -1.7575032414540073
7.155480447712883E-4      0.005087023692693085     0.005608000000000001     -1.8078486376402725
7.482184408968218E-4      0.005090455334627856     0.005608000000000002     -1.9600354474497665
7.270320298475256E-4      0.005058015795128722     0.005608000000000001     -1.983528824546333
7.59702425973059E-4       0.005061447437063494     0.005608000000000001     -2.1625676534455756
7.385160149237629E-4      0.005029007897564362     0.005608000000000001     -2.159209011452381
7.711864110492965E-4      0.0050324395394991325    0.005608000000000001     -2.651875049500995
7.500000000000002E-4      0.005                    0.005608000000000001     -2.5474713273077003
7.464368817936434E-4      0.00518091066925571      0.005608000000000002     -1.8952739670762695
7.579208668698806E-4      0.005151902771691349     0.005608                 -1.7371493648550431
7.694048519461179E-4      0.005122894874126987     0.005608000000000001     -1.939681570850819
7.808888370223553E-4      0.0050938869765626265    0.005608000000000002     -2.142213776846584
7.923728220985925E-4      0.005064879078998264     0.005608                 -2.62470543837867
7.791072779191767E-4      0.005184342311190481     0.005608000000000001     -2.0482150218301896
7.905912629954141E-4      0.00515533441362612      0.005608000000000002     -1.9193276942518631
8.020752480716514E-4      0.005126326516061758     0.005608000000000002     -2.121859900247606
8.135592331478887E-4      0.005097318618497397     0.005608000000000001     -2.5975358272563684
8.117776740447102E-4      0.005187773953125252     0.005608000000000001     -2.201156076584108
8.232616591209475E-4      0.005158766055560891     0.005608000000000001     -2.1015060236486334
8.347456441971848E-4      0.005129758157996529     0.005608                 -2.570366216134052
8.444480701702437E-4      0.005191205595060023     0.005608000000000001     -2.354097131337983
8.55932055246481E-4       0.005162197697495662     0.005608000000000001     -2.5431966050117416
8.771184662957771E-4      0.005194637236994794     0.005608000000000001     -2.7574032104019732
7.083333333333336E-4      0.005                    0.005608000000000001     -1.927019753365411
6.968493482570963E-4      0.0050290078975643625    0.005608000000000002     -1.7781915855490942
6.853653631808589E-4      0.005058015795128723     0.005608000000000001     -1.6293634177327712
6.738813781046216E-4      0.005087023692693085     0.005608000000000002     -1.4805352499164575
6.623973930283844E-4      0.005116031590257446     0.005608000000000001     -1.3317070821001393
6.50913407952147E-4       0.005145039487821808     0.005608000000000001     -1.0916053702170216
6.66666666666667E-4       0.005000000000000001     0.005608000000000002     -1.569714846054314
6.551826815904295E-4      0.005029007897564362     0.005608                 -1.4208866782379692
6.436986965141923E-4      0.005058015795128722     0.005608000000000001     -1.2720585104216582
6.322147114379549E-4      0.005087023692693085     0.005608000000000002     -1.12323034260534
6.207307263617176E-4      0.005116031590257445     0.005608                 -0.8873338178546055
6.250000000000001E-4      0.005                    0.005608000000000001     -1.2124099387431906
6.135160149237629E-4      0.005029007897564362     0.005608000000000002     -1.0635817709268764
6.020320298475257E-4      0.005058015795128723     0.005608000000000002     -0.9147536031105543
5.905480447712882E-4      0.005087023692693085     0.005608000000000001     -0.6830622654921832
5.833333333333335E-4      0.005                    0.005608000000000001     -0.8551050314320866
5.718493482570962E-4      0.005029007897564362     0.005608000000000001     -0.7062768636157641
