% Model:              stripline_filter_simple_decomp_new_mesh.mph
% Version:            COMSOL 6.1.0.252
% Date:               May 19 2023, 11:17
% Dimension:          3
% Nodes:              1688
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        real(emw.Ey)
0.001739047872793132      0.005827892223864421     0.005608000000000001     1925.9768858649084
0.001773244014511185      0.005864537376266771     0.005608000000000001     1408.9056033507404
0.0017227202645166144     0.005867129804031616     0.005608000000000001     1425.9068528382984
0.0017569164062346675     0.0059037749564339655    0.005608000000000001     951.6985328730149
0.0018074401562292383     0.005901182528669121     0.005608000000000002     951.5914393969836
0.0017911125479527206     0.005940420108836316     0.005608000000000001     497.4397761689729
0.0018416362979472912     0.005937827681071471     0.005608                 514.8715934756198
0.0018253086896707735     0.005977065261238665     0.005608000000000001     63.0307107277427
0.0018758324396653443     0.005974472833473821     0.005608000000000001     98.7460655866493
0.0018595048313888268     0.006013710413641016     0.005608000000000001     -351.5286634506746
0.0019100285813833974     0.0060111179858761705    0.005608000000000002     -296.7851442699285
0.00189370097310688       0.006050355566043365     0.005608000000000001     -746.2383463662815
0.0019442247231014505     0.00604776313827852      0.005608000000000001     -671.7220360941126
0.0019278971148249328     0.006087000718445715     0.005608                 -1117.7737293633022
0.0019784208648195036     0.00608440829068087      0.005608000000000001     -999.0731534469442
0.0017063926562400971     0.00590636738419881      0.005608000000000002     940.168767392342
0.00174058879795815       0.0059430125366011595    0.005608                 470.4304955426578
0.001774784939676203      0.00597965768900351      0.005608                 15.673348962289651
0.0018089810813942562     0.00601630284140586      0.005608000000000002     -419.23410635526636
0.0018431772231123095     0.00605294799380821      0.005608000000000002     -834.291870410011
0.0018773733648303624     0.006089593146210559     0.005608000000000002     -1230.3550876536642
0.0016900650479635794     0.005945604964366005     0.005608                 451.6479469463159
0.0017242611896816323     0.005982250116768355     0.005608                 -14.886882005581583
0.0017584573313996856     0.006018895269170705     0.005608000000000002     -470.14241846227617
0.0017926534731177385     0.006055540421573054     0.005608                 -905.5482636561592
0.0018268496148357918     0.006092185573975404     0.005608                 -1322.9329266506597
0.001673737439687062      0.005984842544533199     0.005608000000000001     -39.655608499780215
0.0017079335814051153     0.00602148769693555      0.005608000000000002     -504.25359977170416
0.0017421297231231681     0.006058132849337899     0.005608000000000001     -960.0075261047253
0.0017763258648412212     0.006094778001740249     0.005608                 -1395.5072463542879
0.0016574098314105445     0.006024080124700394     0.005608000000000002     -533.7418989459466
0.0016916059731285976     0.006060725277102744     0.005608000000000001     -997.6696577557101
0.0017258021148466507     0.006097370429505094     0.005608000000000002     -1448.0780467645498
0.001641082223134027      0.006063317704867588     0.005608000000000001     -1030.6109243921828
0.0016752783648520799     0.006099962857269938     0.005608                 -1480.6453278814447
0.0016247546148575095     0.006102555285034783     0.005608000000000001     -1512.4565684770544
0.0025000000000000005     0.006050000000000001     0.005608000000000002     -19.188560182717772
0.0025000000000000005     0.006100000000000001     0.005608000000000002     3.148708554737969E-12
0.0024677362666874134     0.006061755674590462     0.005608000000000002     -102.2969985662256
0.0024677362666874134     0.006111755674590462     0.005608000000000001     -87.42483556571986
0.0025000000000000005     0.006150000000000001     0.005608000000000002     2.7131240727186863E-12
0.0024677362666874125     0.006161755674590461     0.005608000000000001     -97.50355302921504
0.0025000000000000005     0.006200000000000001     0.005608000000000001     2.2388322912985808E-12
0.0024677362666874134     0.006211755674590461     0.005608000000000001     -107.58227049271022
0.0025000000000000005     0.00625                  0.005608000000000002     1.7258332104776492E-12
