% Model:              stripline_filter_simple_decomp_new_mesh.mph
% Version:            COMSOL 6.1.0.252
% Date:               May 4 2023, 12:35
% Dimension:          3
% Nodes:              2339
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        imag(emw.Ey)
7.079896247619884E-4      0.0017185324347857704    0.005608                 328.32143568956445
6.782768212245616E-4      0.0017444563726735174    0.005608                 284.7350013910368
6.782768212245616E-4      0.0017044563726735175    0.005608                 288.4774592688065
6.485640176871347E-4      0.0017303803105612645    0.005608                 241.95944492213852
6.485640176871345E-4      0.0017703803105612644    0.005608                 231.41506345183967
6.188512141497076E-4      0.0017563042484490113    0.005608                 187.41595120527182
6.188512141497076E-4      0.0017963042484490115    0.005608                 180.42936523986054
5.891384106122808E-4      0.0017822281863367586    0.005608                 135.94825985462467
5.891384106122807E-4      0.0018222281863367585    0.005608                 131.77790675509925
5.594256070748538E-4      0.0018081521242245058    0.005608000000000001     87.55637087019699
5.594256070748538E-4      0.0018481521242245057    0.005608                 85.46068799755614
5.297128035374269E-4      0.0018340760621122529    0.005608                 42.2402842519887
5.297128035374269E-4      0.001874076062112253     0.005608                 41.47770896723093
5.0E-4                    0.0018599999999999999    0.005608                 0
5.0E-4                    0.0019                   0.005608                 -0.1710303358761962
6.485640176871345E-4      0.0016903803105612646    0.005608                 245.81756899642602
6.188512141497075E-4      0.0017163042484490115    0.005608                 196.917788365616
5.891384106122807E-4      0.0017422281863367587    0.005608                 143.07463772488265
5.594256070748538E-4      0.001768152124224506     0.005608                 92.30728945036901
5.297128035374269E-4      0.0017940760621122528    0.005608                 44.61574354207471
5.0E-4                    0.00182                  0.005608                 0
6.188512141497076E-4      0.0016763042484490116    0.005608                 200.87416975263136
5.891384106122807E-4      0.0017022281863367588    0.005608                 150.2010155951408
5.594256070748538E-4      0.001728152124224506     0.005608                 97.05820803054095
5.297128035374269E-4      0.0017540760621122529    0.005608                 46.99120283216074
5.0E-4                    0.00178                  0.005608                 0
5.891384106122807E-4      0.001662228186336759     0.005608                 153.6472615374225
5.594256070748538E-4      0.001688152124224506     0.005608                 101.80912661071292
5.297128035374269E-4      0.001714076062112253     0.005608                 49.36666212224678
5.0E-4                    0.00174                  0.005608                 0
5.594256070748538E-4      0.0016481521242245058    0.005608                 104.13684435079934
5.297128035374268E-4      0.0016740760621122529    0.005608                 51.742121412332736
5.0E-4                    0.0017000000000000001    0.005608                 0
5.297128035374269E-4      0.0016340760621122532    0.005608                 52.34291819276199
5.0E-4                    0.00166                  0.005608                 0
5.0E-4                    0.0016200000000000001    0.005608                 -1.156344624459848
7.150037351086203E-4      0.0016816274980726588    0.005608                 381.4792598228565
6.852909315711933E-4      0.001667551435960406     0.005608                 342.34565150344815
6.555781280337663E-4      0.0016534753738481527    0.005608                 299.41149635809415
6.258653244963395E-4      0.0016393993117358998    0.005608                 253.58543948386415
5.961525209589126E-4      0.0016253232496236474    0.005608000000000001     204.86748088075862
